seed_query,title,description,postdate,link,bloggername,bloggerlink,places
방문,고양 키즈쿠킹클래스 원데이클래스 야미 쿠킹클래스,"에 방문 하였어요. 야미 경기 고양 위치정보 경기 고양시 덕양구 동세로 11 1층 102호 (경기 고양시... O / 방문 접수,출장 https://www.instagram.com/yamicookingclass 공방 외관 및 주차 야미는 고양 동산동에 위치해있으며...",2026-05-31,https://blog.naver.com/leeseul1031/224301832772,변블리,blog.naver.com/leeseul1031,고양
서울,"[홍대 상가 사무실, 합정역-망원역] 보증금 1000 / 월 100...","서교동가성비사무실 홍대상가임대 망원상가임대 홍대상가월세 [ 임대정보 ] - 보증금 1,000 / 월세 100 / 관리비 10 - 매물번호 : S-10549 - 소재지 : 서울 마포구 서교동 - 매물종류/거래형태 : 사무실&상가...",2026-05-31,https://blog.naver.com/energylove/224301832776,신현수 공인중개사 | SHINSOO 공인중개사 사무소,blog.naver.com/energylove,서울|홍대|합정|망원|마포
오늘,☀️ 2026년 5월 31일 18:32 KST · 기상청 5/31 17:00 기준...,0°C 하락 · 강수확률 30%p 상승 오늘 날씨 맞춤 추천 아이템 PPEAT 쿨매트 냉감 패드 여름 시원한... 마무리 오늘 은 서울·대전·대구·부산을 한 포스팅 안에서 함께 정리했습니다. 이동 지역이...,2026-05-31,https://blog.naver.com/qwer202603/224301832747,요즘님의블로그,blog.naver.com/qwer202603,서울
팝업,용산 놀거리 아이파크몰 마블컬렉션 용산점 굿즈 피규어 솔직후기,각종 캐릭터 팝업 및 게임존과 지브리 매장이 있는 곳과 같이있어서 찾기에 비교적 수월했습니다. 입구로 들어서니 다양한 굿즈들과 마블 소개영상 및 사진들이 보였는데요. 7월에 개봉하는 스파이더맨 브랜드...,2026-05-31,https://blog.naver.com/uni4775/224301832699,딩동댕댕 Wonderland,blog.naver.com/uni4775,용산
후기,강동 굽은다리역 맛집 불타는삼겹살 후기 ⭐4.0,안녕하세요 먹개에요 뚠개씨가 좋아하는 맛집인 불타는삼겹살에 다녀왔어요 숯불이 아닌 불판에 김치랑 같이 구워 먹고 싶은 날에는 딱이에요!! 위치 [서울특별시 강동구 상암로 183] 불타는삼겹살은...,2026-05-31,https://blog.naver.com/sian_zip/224301833171,뚠개먹개_zip,blog.naver.com/sian_zip,서울|강동|상암
오늘,광화문pt / 여름 옷 꺼냈다가 충격받으셨나요? 직장인이...,“살은 빼야 하는데 시간이...” 오늘 은 바쁜 직장인들이 여름이 다가오는 지금 시점에서 다이어트를 시작할 때 꼭! 알아야 할 이야기를 해보겠습니다. 직장인은 왜 살이 찌기 쉬울까요? 직장인들의 하루는...,2026-05-31,https://blog.naver.com/xorlf3055/224301832910,Jeonjaewon님의 블로그,blog.naver.com/xorlf3055,광화문
나들이,건전한 불토 일기 ᵔ⤙ᵔ,하다가 갑자기 서울 나들이 .. Zzㅋㅋㅋㅋㅋㅋㅋ저 출근할때 몰골 다들 아시죠? 그 몰골 그대루 .. 시골쥐의 서울상경 인줄~ 퇴근하고 가는거라 연중무휴 24시 하는 한우 전문점 초월에 와슴니당 룸으로 예약하고...,2026-05-31,https://blog.naver.com/bbb0020_/224301832710,ввв,blog.naver.com/bbb0020_,서울
서울,아인슈타인의 시공간 모델은 완벽한 공리이다 실제한다고...,"서울 역을 지도 위에 점으로 표시했다고 해서, 서울 역이 실제로 점 하나가 되는 것은 아니다. 사람의 인생을 연표에 적었다고 해서, 그 인생이 종이 위의 선 하나로 바뀌는 것도 아니다. 마찬가지로 우주의 사건을...",2026-05-31,https://blog.naver.com/bt-19/224301833153,프레임학 연구소,blog.naver.com/bt-19,서울
서울,서울 특별시 서대문구 홍은동 유원홍은아파트 샷시시공,안방창 안방베란다 거실확장이중창 후면방창 주방터닝도어 거실터닝도어 보일러실창 세탁실창 입구우방 이중창 서울 특별시 서대문구 홍은동 유원홍은아파트 샷시시공 #이중창 #샷시시공 #유원홍은아파트...,2026-05-31,https://blog.naver.com/gksalalgks1622/224301832977,샷시 시공전문업체 견적 상담무료 010 30443064,blog.naver.com/gksalalgks1622,서울
데이트,[서울이스케이프룸] 방탈출 '404호 살인사건' 탈출 성공 후기,스토리형 좋아하시면 재미있게 즐기실 수 있을 것 같아요 #방탈출 #서울이스케이프룸 #방탈출 #인천방탈출 #404호살인사건 #방탈출후기 #공포방탈출 #서이룸 # 데이트 #이색 데이트 서울이스케이프룸,2026-05-31,https://blog.naver.com/dun02105/224301832366,한번사는 인생,blog.naver.com/dun02105,서울|인천
방문,국내산 재료들로 만든 신선하고 푸짐한 한 상! <섭생정식...,직접 방문 해 봤습니다. 서울 도봉구 노해로 341 1층 101호 창동역 2번 출구에서 도보 약 3분 ⏰ 영업시간... 테이블 간격도 여유로운 편이라 가족 외식이나 모임 장소로 방문 하기 좋아 보였습니다. 특히 벽면에...,2026-05-31,https://blog.naver.com/vietnamtravel-/224301832280,세계여행 꿀팁 총정리,blog.naver.com/vietnamtravel-,서울
방문,[서울/장한평역]5호선 장안동 술집 장안회관 장안동본점,다음번 방문 에는 꼭먹어보자 남편과 약속했어요 ㅎㅎ 안주를 시키면 사장님께서 물주전자와 경양식 스프를 가져다주세요 물주전자 엄청 탐나요 ㅋㅋ 스프는 남편이 원래 좋아하는데 먹어보니 오뚜기 스프...,2026-05-31,https://blog.naver.com/ymds486/224301832082,조t1na의 일상,blog.naver.com/ymds486,서울
오늘,[과천서울랜드] 양주덕정 한빛태권도 초등부 체험학습 즐거운...,오늘 날짜를 너무 잘 잡왔네요. 아이들 놀기에 딱 좋은 날씨~ 시원하게 바람도 불어주고~ 최고로... 오늘 의 점심은 쌈이맛 식당에서 돈까스와 음료수 맛나게 잘먹었습니다. 메인요리가 돈까스인데~ 먹기가 편한...,2026-05-31,https://blog.naver.com/101jjh/224301832466,태권도신우회,blog.naver.com/101jjh,서울|과천
서울,지방선거 사전투표율 역대 최고 23.51%…아직 투표 안 했다면...,"서울 은 23.84%, 경기 20.96%, 인천 21.62%로 집계됐습니다. 특히 전남 신안군은 무려 61.31%를 기록하며 전국 최고 수준의 사전투표 참여율을 보였습니다. 사전투표를 못 했다면 본투표 참여 가능 소중한 한 표를...",2026-05-31,https://blog.naver.com/signature90/224301832144,moatip,blog.naver.com/signature90,서울|인천
데이트,《옥소반》 마곡 맛집 모임/마곡 샤브샤브 맛집!,전체적으로 밝고 깔끔한 분위기라 가족 외식은 물론 데이트 나 모임 장소로도 잘 어울릴 것 같았어요.... 얼큰샤브샤브 #마곡회식 #맛집추천 #서울맛집 #야채무한리필 #칼국수맛집 #마곡 데이트 #샤브샤브 #서이추,2026-05-31,https://blog.naver.com/ae961207/224301832225,스마일스마일,blog.naver.com/ae961207,서울|마곡
방문,[임대] 서울시 2026년 1차 행복주택 입주자 모집 정보ㅣ일정...,"5시 방문 청약 접수 : 2026년 6월 16일(화) 오전 10시 ~ 6월 17일(수) 오후 5시 서류심사 대상자 발표... 17.(수) 17:00) 방문 신청: 서울주택도시개발공사 2층 대강당, 신분증 지참 필수 (2026. 6. 16.(화) ~ 6. 17.(수)...",2026-05-31,https://blog.naver.com/u2budongsan/224301832301,맛동산,blog.naver.com/u2budongsan,서울
수도권,2028학년도 대입 '인서울 정시' 문 더 좁아진다? 평촌...,"결국 이 흐름 때문에 서울과 수도권 대학으로 아이들이 몰리게 되고, 비 수도권 (지방) 대학들은 정원을 채우지 못하는 미충원 부담이 훨씬 더 커질 것으로 보입니다. 3. 내신 5등급제 + 통합형 수능 = 예측 불허의...",2026-05-31,https://blog.naver.com/alchan0509/224301832346,평촌 인디엠영어수학학원,blog.naver.com/alchan0509,서울|수도권
나들이,"[2026,May]바쁜 5월 일상기록",5월 일상기록 이디랑 잠실 나들이 소품샵 들려주고 빵집 들려서 베이글 사고 쫀득쿠키 만들기 했는데 10분컷임 돈아까움..으으...내돈.... 성시경 콘서트 가기 전에 광화문에서 혜연이 잠깐 만나서 커피마시기...,2026-05-31,https://blog.naver.com/sksekdmsl/224301832202,"반짝반짝, 제이D 세상",blog.naver.com/sksekdmsl,잠실|광화문
서울,영도구 동삼동 전기메인차단기고장수리 자주 발생하는 증상과...,"강동면전기출장수리, 서울 전기고장수리, 두산동전기배선수리, 남문동 주변 전기증설업체, 명주동... 담산동 주변 전기배선수리, 구정리전기고장수리, 강릉 광주 전기차단기고장수리, 서울 전기누전점검업체",2026-05-31,https://blog.naver.com/icpdyos7/224301832560,⚡부산전기⚡전기수리⚡누전AS전문,blog.naver.com/icpdyos7,서울|강동
일상,"김용건, 2세 손자 '발달 검사' 받았다…며느리 황보라, 자택에...","세 세대가 함께 품어가는 육아의 일상 이, 그들만의 방식으로 조용히 이어지기를 바라봅니다. 함께 읽으면 좋을 글 "" "" "" "" "" "" "" "" "" "" "" "" 사진 출처: MHN스포츠, 스타뉴스, 스포츠서울, 엑스포츠뉴스, 동행미디어...",2026-05-31,https://blog.naver.com/95_0009/224301832345,해피윤,blog.naver.com/95_0009,서울
오늘,"경기남양주근린상가경매-2024타경6417, 남양주 근린상가경매...","오늘 의 명언입니다 : 후회는 언제 하여도 늦지 않다. - J.레이 ** 근린상가 경매 ** 2024 타경 6417 ** 급매 ** 근린상가 매매 1)위치 및 주위환경 본건은 경기도 남양주시 별내동 소재 지하철 8호선 ""별내역...",2026-05-31,https://blog.naver.com/ksanchoi/224301832124,"101세시대,(주)법학사옥션이 경제적 자유를 드립니다",blog.naver.com/ksanchoi,남양주
서울,동작구 대방동 정육냉장고수리업체 긴급 대처 방법 안내,"업소용냉장고고장수리업체, 서울 업소용냉장고고장수리업체, 강릉시 인근 업소용냉장고고장수리, 경기 근처 쇼케이스수리, 난곡동 인근 업소용냉장고당일출장수리업체, 강문동업소용냉장냉동고수리...",2026-05-31,https://blog.naver.com/eunjiof81467/224301832247,지식 더하기,blog.naver.com/eunjiof81467,서울
가볼만한곳,슈퍼탐사대X 히어로스쿨 1기 후기,#슈퍼탐사대X #히어로스쿨1기 #슈퍼탐사대 #히어로스쿨 #아이와 가볼만한곳 #주말아이와 가볼만한곳 #주말나들이 #어린이체험 #체험형프로그램 #가족나들이 #어린이대공원 #서울어린이대공원 #딸바보 #8살딸...,2026-05-31,https://blog.naver.com/wonypap/224301832540,wonypap: 엔지니어의 시선으로 본 세상,blog.naver.com/wonypap,서울|이대|어린이대공원|서울어린이대공원|가족나들이 어린이대공원|어린이대공원 서울어린이대공원
방문,[서울 도봉구] 북한산 아이파크 _ 주방가구 및 보조 주방가구...,"주방가구는 섬세한 디자인과 차별화된 기능성을 결합된 제품으로, 세련되고 고급스러운 인테리어를 완성하여 나만의 라이프 스타일을 선사합니다. 나드리홈시스 블로그에 방문 해 주셔서 ♥ 감사합니다 ♥",2026-05-31,https://blog.naver.com/nadrigagu/224301832605,"""나드리홈시스_소중한 가정을 위한 친환경 가구""",blog.naver.com/nadrigagu,서울
서울,중구 태평로1가 상가 냉난방기수리 문제 해결 방법,"에어컨가스충전, 서울 근처 시스템에어컨고장수리, 노암동 근처 시스템에어컨고장수리, 모전리 근처 에어컨고장수리업체, 경기 강릉시 냉난방기고장수리, 금학동 경기 에어컨수리, 서울 히트펌프수리, 경기 강릉...",2026-05-31,https://blog.naver.com/oytpresident/224301832578,oytpresident님의 블로그,blog.naver.com/oytpresident,서울
서울,"부드러운 가브리살의 매력, 손정보쌈 은평이마트점 탐방기",기분이었습니다 서울 은평구 은평로 108 1층 108호 tel:0507-1335-5871 #가브리보쌈 #가브리살보쌈 #응암역맛집 #응암역보쌈 #응암이마트맛집 #응암동보쌈 #응암동보쌈맛집 #응암동칼국수맛집 #응암역맛집추천...,2026-05-31,https://blog.naver.com/chae0nge/224301831992,liazip님의 블로그,blog.naver.com/chae0nge,서울
서울,서울 경제신문에 제 SNS 채널 미니가든쿠킹이 소개되었네요.,얼마전 서울 경제신문 기자님이 연락이 왔길래 지면 기사는 부담이 없을 것 같아서 진행 했다. 이번 기사 내용이 길어서 짧게 편집해서 블로그에도 올려본다. 제가 운영하는 채널은 인스타그램과 유튜브에서...,2026-05-31,https://blog.naver.com/rina_1020/224301187300,리나의 사진 공간,blog.naver.com/rina_1020,서울
일상,"서울꼬똥드툴레아분양, 퍼피에몽에서의 행복한 선택","이런 소소한 일상 이 저에게 큰 행복으로 다가오네요. 서울꼬똥드툴레아분양을 통해 시작된 저희의 새로운 삶, 정말 추천하고 싶어요! 마지막으로, 강아지를 입양할 때는 반드시 신중하게 고민하셨으면 해요....",2026-05-31,https://blog.naver.com/twjhfg376/224301831892,반짝이는 오늘의 조각,blog.naver.com/twjhfg376,서울
데이트,2026 경복궁 야간개장 예매 방법과 관람 꿀팁 총정리,"경복궁야간개장시간, #경복궁야간개장한복, #경복궁야간개장입구, #경복궁야간개장인터파크, #경복궁야간개장티켓, #서울야간 데이트 , 현장 발권은 거의 없으므로 사전 예매를 권장합니다.",2026-05-31,https://blog.naver.com/hazlecamp/224301831855,취미부자,blog.naver.com/hazlecamp,서울
서울,서울 고소대행전문변호사 상담비용과 선임비용 차이 알기 | 송파...,"서울 고소대행전문변호사 상담비용과 선임비용 차이 알기 | 송파 문정 강남 서울 고소대행 사건, 어디서부터 대응해야 할까요? 핵심 포인트 서울 에서 고소를 진행하려는 경우, 적절한 법적 조치를 취하는 것이...",2026-05-31,https://blog.naver.com/tinystrength51/224301831408,법무법인 프런티어,blog.naver.com/tinystrength51,서울|강남|송파
서울,서울 강동구 도자기체험｜가족 그림 접시 만들기,민화와 도자기 체험 수업 서울 강동구에서 민화와 도자기 체험 수업을 진행하고 있습니다. 문의 및 예약은 아인토 민화 그리고 도자기로 연락 주세요. 더 많은 작품과 수업 이야기는 인스타그램 @minwha_ainto...,2026-05-31,https://blog.naver.com/wngma001/224301831623,행복 이음,blog.naver.com/wngma001,서울|강동
서울,"오세훈, 서울 전역 돌며 ""李 겸손하게 만들 기회...","오세훈, 서울 전역 돌며 ""李 겸손하게 만들 기회, 2년 내 오지 않아"" - https://v.daum.net/v/20260531163217877 "" "" "" "" "" """,2026-05-31,https://blog.naver.com/toqufslak/224301831497,혜명화 ☆별님 런던베이직 동구/북구점,blog.naver.com/toqufslak,서울
서울,"분당 인기 아파트, 급매 쏟아지는데 왜 신고가 찍히나",서울 거래량 비중도 같은 방향이에요. 소형(60㎡ 이하) 비중: 42% → 45%로 증가 대형(85㎡ 초과) 비중: 15.5% → 13.7%로 감소 주담대 한도와 절대 가격 부담이 커지면서 대형 수요는 갈수록 줄어드는 추세예요. 03....,2026-05-31,https://blog.naver.com/ggmin1/224301831466,고은안테나,blog.naver.com/ggmin1,서울|분당
서울,크리닉 용산미용실|용산아이디헤어미유|모발클리닉•오주아 퀜치,"예약은 아래 링크 눌러서 예약주시면 됩니다 ⬇️ 아이디헤어 용산해링턴점 서울 용산구 서빙고로 17 용산센트럴파크해링턴스퀘어 몰C 2층 84,85 https://naver.me/x3HfHidJ",2026-05-31,https://blog.naver.com/cksquf1127/224301831410,idhair miyu,blog.naver.com/cksquf1127,서울|용산
팝업,[서울 아이와 함께] 더현대 서울 사운즈포레스트ㅣ...,"서울 도심에 갈 땐 누구든 더 떨리고 또 긴장되고 막 그르잖아여 ㅋㅋㅋㅋㅋㅋㅋ 마침 주니토니 팝업 스토어가 운영 중이라, 이 것 저 것 신나게 잘 구경하며 시간을 보내었던 것 같다. ☆ '더현대 서울' 의 자랑...",2026-05-31,https://blog.naver.com/pinknury84/224301831533,친절한 제제쌤의 지혜로운 특수교육,blog.naver.com/pinknury84,서울|더현대
오늘,소득 상관없는 LH 든든전세주택 청약 총정리 (주택목록...,오늘 은 LH에서 실시하는 서울 든든전세주택에 대한 공고가 올라와서 정보 공유드리고자 합니다. 말씀드릴 내용이 길어서 바로 본론으로! LH 든든전세주택이란? 요즘 서울 전월세 씨가 말랐다는 말 많이...,2026-05-31,https://blog.naver.com/wlmds6790/224301831775,마음's 재테크 저장소,blog.naver.com/wlmds6790,서울
후기,"오라카이 대학로 호텔 48만원대 → 13만 원대, 서울 종로 호캉스",분위기 후기 보면 객실 넓은 편 청결 상태 괜찮음 조용한 분위기 직원 친절 주차 편함 이런 이야기 많았어요 전체적으로 과하게 화려한 느낌보다는 깔끔하고 편안하게 쉬기 좋은 스타일 같더라구요 이런...,2026-05-31,https://blog.naver.com/howaremee/224301831332,howareme,blog.naver.com/howaremee,서울|종로|대학로
서울,강동구 강일동 전기합선수리 원인과 대처법,"난곡동 주변 전기출장수리, 노암동 전기누전점검업체, 서울 근처 조명공사수리업체, 울산 인천... 전기고장수리, 서울 주변 전기증설업체, 금학동 전기스위치수리, 대구 주변 전기고장수리...",2026-05-31,https://blog.naver.com/talexqu/224301831483,서울 전기 수리 해결센터,blog.naver.com/talexqu,서울|강동|인천
서울,동탄역 롯데캐슬 네이버 부동산 매물 기준 이번주 BEST 매물...,"청약 체크포인트: GTX-A 개통 시 수서·삼성권 접근성이 획기적으로 개선되어, 서울 출퇴근을 고려하는 분들께는 시간적, 경제적 이점을 제공합니다. 다만, 실제 운행시간, 정차역, 혼잡도는 개통 후 체감...",2026-05-31,https://blog.naver.com/liebe2460/224301831521,와우팸,blog.naver.com/liebe2460,서울|삼성
서울,서울,전국교사대회. 그리고 연극 관람. 26.05.30.,2026-05-31,https://blog.naver.com/modak-bul/224301831766,모닥불,blog.naver.com/modak-bul,서울
서울,휘경동 맥스타워 오피스텔 1동 33A/16㎡ 매매(5/11층),"48대 용적률 379% 건폐율 59% 건설사 은일종합건설(주) 주소 서울 시 동대문구 휘경동 246 면적 33A... 16 1,000/69(7층) 부동산정보 대박공인중개사사무소 대표 김은미 전화 02-965-0302 오시는길 서울 ...",2026-05-31,https://blog.naver.com/eunmi4275566/224301831805,대박공인중개사사무소,blog.naver.com/eunmi4275566,서울|동대문
오늘,"자궁암 완치율 2배 높인 '미사일 치료제' 등장, ASCO 2026...","5월의 마지막 날인 오늘 , 대지는 이미 본격적인 여름의 열기로 뜨겁게 달아오르고 있습니다. 오늘 전국 대부분 지역의 낮 기온이 30도 안팎까지 올라가며 완연한 초여름 날씨를 보이고 있는데요. 오늘 ...",2026-05-31,https://blog.naver.com/apuda_korea/224301831847,"ApuDa아프지만,다행이다",blog.naver.com/apuda_korea,미사
방문,"[서울 반포] 마루심, 장어덮밥(히쯔마부시) 맛집 또 갈래!!!!","토요일 저녁 8시쯤 방문 했더니! 웨이팅 없이 들어갈 수 있었습니다. 오호호호홍 매장 안은 이런 느낌이었구요. 사진은 못찍었지만, 옆쪽에 또 식사공간이 있었어요. 주문은 키오스크로, 결제는 식사 후 따로...",2026-05-31,https://blog.naver.com/yeahhooooo/224301831811,때지의 오늘 일기짱,blog.naver.com/yeahhooooo,서울
서울,방배동 래미안원페를라 아파트 302동 81A/59㎡ 전세(저/17층),82대 용적률 - 건폐율 - 건설사 삼성물산(주) 주소 서울 시 서초구 방배동 818-14번지 일원 면적... 오시는길 서울 특별시 강남구 영동대로128길 15 (삼성동) 상가동 107호 등록번호 11680-2024-00325,2026-05-31,https://blog.naver.com/dreaminginhee/224301831871,청담 참조은 부동산,blog.naver.com/dreaminginhee,서울|강남|삼성|방배|서초
서울,"한국엔지니어링협회, 고용노동부 서울 관악지청과 MOU 체결","‘2026년 주요 노동 이슈 설명회’도 개최 오른쪽 나한균 상근부회장과 왼쪽 김영심 서울 관악지청장/사진=협회 제공 [오마이건설뉴스]한국엔지니어링협회(회장 한명식, 이하 협회)는 28일, 고용노동부 서울 관악...",2026-05-31,https://blog.naver.com/thys5477/224301831384,오마이컨,blog.naver.com/thys5477,서울
서울,김영준 실장 국립생태원 복원연구실 이슈 PICK 쌤과 함께,"전남대학교 수의과대학을 졸업한 후 서울 대학교 수의과대학 야생동물유전자원에행 겸임연구원, 충남야생동물구조센터 선임 수의사 등을 지냈다. 특히 아프리카돼지열병(ASF) 차단방역과 야생조류 유리창...",2026-05-31,https://blog.naver.com/banktong/224301831904,정방의예인,blog.naver.com/banktong,서울
서울,1988년 서울 올림픽 경비 지원 기념 배찌,1988년 서울 올림픽에 군에서 경비지원 병력에게 기념으로 증정한 기념 배찌 입니다. 이 배찌가 비표로 사용되었는지 올림픽 이후 지급 되었는지 알수가 없네요. 오륜비와 국방부 마크가 태극문양을 바탕으로...,2026-05-31,https://blog.naver.com/hbt3840/224301831560,또또삼촌의 잡동사니,blog.naver.com/hbt3840,서울
주말,[해방촌] 브런치 오파토,"평일 주말 08:00-16:30 라스트오더 16:00 콜키지 가능 유료 주차가능 외부 양쪽으로 마주보고 한쪽은 브런치, 반대쪽은 베이커리로 2매장이 있다. 여기가 베이커리 내부 이태원 특유의 느낌, 에스닉한 편안한...",2026-05-31,https://blog.naver.com/lyric097/224301831863,trip nomnom,blog.naver.com/lyric097,이태원|해방촌
서울,"김수현 SNS 중단 474일째, 댓글이 다시 몰린 이유 3가지와...","2026년 5월 26일 서울 중앙지법이 구속영장을 발부했다는 보도가 나오면서, 이전에 제기됐던 의혹을 다시 살펴보는 분위기가 생겼습니다. 다만 여기서 중요한 건 확정 판결과 수사 단계의 표현을 구분하는...",2026-05-31,https://blog.naver.com/sphinx104/224301831215,정보페이,blog.naver.com/sphinx104,서울
오늘,신림역카페 우디빈 여름 시즌 한정 메뉴와 티라미수,오늘 소개할 곳은 신림동 별빛거리에 자리잡은 신림역카페 우디빈이다. 조용한 분위기를 좋아하는 사람들에게 잘 맞을 곳이다. 입구에 2026 대한민국 커피맛집 콜럼버스 가이드에 선정된 곳임을 보여 주는...,2026-05-31,https://blog.naver.com/daboram_j/224301830993,다시 보는 사람의 발도장,blog.naver.com/daboram_j,늘소개할곳은신림동별빛거리에자리잡은신림역카페|신림역카페 우디빈 여름 시즌 한정 메뉴와 티라미수 오 늘 소개할 곳은 신림동 별빛거리에 자리잡은 신림역카페
서울,'SKY 떨어진 자사고 학생은?' 성균관대 한양대 가장 많이...,"503명, 서울 대학교 492명, 연세대학교 491명 순으로 나타났습니다. 특히 눈에 띄는 점은 성균관대와 한양대의 압도적인 흡수력입니다. 서울 대·연세대·고려대(SKY)의 높은 벽을 넘지 못한 자사고 상위권 학생들이...",2026-05-31,https://blog.naver.com/pso164/224299890279,과학커뮤니케이터 박종현,blog.naver.com/pso164,서울
가볼만한곳,6월 첫째주의 추천 여행지(1): 남양주 물의 정원 꽃양귀비 꽃밭...,"이 붉디 붉은 꽃, 꽃양귀비가 유유히 흐르는 넓은 강과 잘 어울리는 곳, 경기도 남양주시 북한강변... 군락을 볼 수 있는 당일 나들이 장소로 추천한다. ++++++++++++++++++++ <함께 가볼 만한 곳 > 카페 소풍(010...",2026-05-31,https://blog.naver.com/hongyoon2018/224301831076,"추천 여행, 역사, 맛집 삼중주",blog.naver.com/hongyoon2018,남양주
수도권,"2026년 다주택자 투자전략, 무엇이 중요할까?","예를 들어 수도권 핵심 지역의 아파트 한 채와 지방 외곽의 아파트 여러 채를 비교했을 때, 현재... 서울과 수도권 주요 지역은 여전히 수요가 유지되고 있지만 일부 지방 지역은 거래량 감소와 공급 과잉 문제를...",2026-05-31,https://blog.naver.com/lilyuooo/224301584391,"월급쟁이 재테크녀, 앰콤의 하루",blog.naver.com/lilyuooo,서울|수도권
